AD,date,reconstructed,data_type_code,century,temp_bin,date_as_date,i,temp_class,id
1437,413,6.6,Diary,15,>=6 & <9,2022-04-13,18,gte6-and-lt9,281
1438,409,7.7,Diary,15,>=6 & <9,2022-04-09,14,gte6-and-lt9,282
1439,411,7.2,Diary,15,>=6 & <9,2022-04-11,16,gte6-and-lt9,283
1440,407,8,Diary,15,>=6 & <9,2022-04-07,12,gte6-and-lt9,284
1441,415,6,Diary,15,>=6 & <9,2022-04-15,20,gte6-and-lt9,285
1443,417,5.4,Diary,15,>=3 & <6,2022-04-17,22,gte3-and-lt6,286
1444,418,4.9,Diary,15,>=3 & <6,2022-04-18,23,gte3-and-lt6,287
1446,418,5.2,Diary,15,>=3 & <6,2022-04-18,23,gte3-and-lt6,288
1447,421,4.3,Poetry,15,>=3 & <6,2022-04-21,26,gte3-and-lt6,289
1448,405,8.6,Diary,15,>=6 & <9,2022-04-05,10,gte6-and-lt9,290
1449,405,8.9,Diary,15,>=6 & <9,2022-04-05,10,gte6-and-lt9,291
1450,410,7.4,Diary,15,>=6 & <9,2022-04-10,15,gte6-and-lt9,292
1451,413,6.6,Diary,15,>=6 & <9,2022-04-13,18,gte6-and-lt9,293
1452,401,9.9,Diary,15,>=9,2022-04-01,6,gte9,294
1453,417,5.4,Poetry,15,>=3 & <6,2022-04-17,22,gte3-and-lt6,295
1454,415,6,Poetry,15,>=6 & <9,2022-04-15,20,gte6-and-lt9,296
1455,406,8.6,Diary,15,>=6 & <9,2022-04-06,11,gte6-and-lt9,297
1456,415,5.7,Diary,15,>=3 & <6,2022-04-15,20,gte3-and-lt6,298
1457,415,6,Diary,15,>=6 & <9,2022-04-15,20,gte6-and-lt9,299
1458,422,4.1,Diary,15,>=3 & <6,2022-04-22,27,gte3-and-lt6,300
1459,423,3.8,Diary,15,>=3 & <6,2022-04-23,28,gte3-and-lt6,301
1460,420,4.3,Diary,15,>=3 & <6,2022-04-20,25,gte3-and-lt6,302
1461,416,5.7,Diary,15,>=3 & <6,2022-04-16,21,gte3-and-lt6,303
1462,416,5.7,Diary,15,>=3 & <6,2022-04-16,21,gte3-and-lt6,304
1463,411,7.2,Diary,15,>=6 & <9,2022-04-11,16,gte6-and-lt9,305
1464,413,6.3,Diary,15,>=6 & <9,2022-04-13,18,gte6-and-lt9,306
1465,408,8,Diary,15,>=6 & <9,2022-04-08,13,gte6-and-lt9,307
1466,415,6,Diary,15,>=6 & <9,2022-04-15,20,gte6-and-lt9,308
1467,411,7.2,Phenology,15,>=6 & <9,2022-04-11,16,gte6-and-lt9,309
1468,410,7.2,Diary,15,>=6 & <9,2022-04-10,15,gte6-and-lt9,310
1472,423,3.5,Diary,15,>=3 & <6,2022-04-23,28,gte3-and-lt6,311
1474,408,8,Poetry,15,>=6 & <9,2022-04-08,13,gte6-and-lt9,312
1476,409,7.4,Diary,15,>=6 & <9,2022-04-09,14,gte6-and-lt9,313
1477,420,4.6,Diary,15,>=3 & <6,2022-04-20,25,gte3-and-lt6,314
1478,425,3.2,Diary,15,>=3 & <6,2022-04-25,30,gte3-and-lt6,315
1479,420,4.6,Diary,15,>=3 & <6,2022-04-20,25,gte3-and-lt6,316
1480,413,6.3,Diary,15,>=6 & <9,2022-04-13,18,gte6-and-lt9,317
1481,416,5.7,Diary,15,>=3 & <6,2022-04-16,21,gte3-and-lt6,318
1482,418,5.2,Diary,15,>=3 & <6,2022-04-18,23,gte3-and-lt6,319
1483,411,7.2,Diary,15,>=6 & <9,2022-04-11,16,gte6-and-lt9,320
